Alg_A,Alg_B,p_Holm,neglog10_pHolm
NLSHADE-RSP,SciPyDE,1.0803341865539553e-07,6.966441880692518
NLSHADE-RSP,PSO,1.0989606380462646e-07,6.959017862613311
LBFGSB,jSO,1.1175870895385744e-07,6.951718623871811
LBFGSB,Spiral-LSHADE,1.1362135410308839e-07,6.944540039244687
LBFGSB,NLSHADE-RSP,1.1548399925231935e-07,6.937478184757201
LBFGSB,LSHADE,1.1734664440155029e-07,6.930529324801873
JADE,LBFGSB,1.1920928955078125e-07,6.923689900271568
GWO,NLSHADE-RSP,1.210719347000122e-07,6.916956517612599
GA,NLSHADE-RSP,1.2293457984924316e-07,6.910325938713586
SciPyDE,jSO,1.0617077350616455e-06,5.973995018582963
Spiral-LSHADE,SciPyDE,2.60770320892334e-06,5.583741838577216
NLSHADE-RSP,SSA,3.380700945854187e-06,5.470993244883323
LBFGSB,PSO,5.327165126800537e-06,5.273503841126412
GWO,jSO,5.42961061000824e-06,5.265231315160422
CMAES,LBFGSB,5.532056093215942e-06,5.257113424938242
GA,jSO,4.246272146701813e-05,4.371992175025582
LSHADE,SciPyDE,4.991888999938965e-05,4.301735080226666
SSA,jSO,5.7220458984375e-05,4.24244866289598
JADE,PSO,5.841255187988281e-05,4.233493820243054
GWO,LBFGSB,6.67087733745575e-05,4.175817044980136
PSO,jSO,7.577240467071533e-05,4.120488930004748
LBFGSB,SSA,7.745623588562012e-05,4.110943612098517
GWO,JADE,8.76113772392273e-05,4.057439492560489
PSO,Spiral-LSHADE,0.0001009982079267,3.9956863321030025
Spiral-LSHADE,SSA,0.0001812987029552,3.741605302917257
GWO,Spiral-LSHADE,0.0001857206225395,3.7311398692390294
GWO,LSHADE,0.000205785036087,3.686586208684956
JADE,SciPyDE,0.0002329666167497,3.6327063073006336
GA,JADE,0.0002628788352012,3.5802443782349878
CMAES,Spiral-LSHADE,0.0003925561904907,3.4060981695596846
LSHADE,PSO,0.0004386082291603,3.357923224356211
LBFGSB,SciPyDE,0.0004748478531837,3.3234455211277103
GA,Spiral-LSHADE,0.0004888139665126,3.3108563938197184
GA,LSHADE,0.000665545463562,3.1768222724211457
GA,LBFGSB,0.0006863437592983,3.163458310863172
LSHADE,SSA,0.0009453520178794,3.0244064444479895
CMAES,jSO,0.001440841704607,2.841383729520447
CMAES,NLSHADE-RSP,0.0014905259013175,2.826660472699766
JADE,NLSHADE-RSP,0.0087571367621421,2.0576378677663607
JADE,SSA,0.0179969351738691,1.7448014476970326
CMAES,LSHADE,0.0269924066960811,1.5687583911667309
JADE,jSO,0.0640022568404674,1.1938047117023527
CMAES,SciPyDE,0.1041175872087478,0.9824759046625728
CMAES,JADE,0.2770953141152859,0.5573708183934493
CMAES,SSA,0.3401200696825981,0.46836774061875963
JADE,Spiral-LSHADE,0.3891190867871046,0.40991746597597106
CMAES,PSO,0.654417984187603,0.18414477424181214
CMAES,GWO,0.6922649405896664,0.15972766245760822
CMAES,GA,0.728814996778965,0.13738269949370063
SSA,SciPyDE,0.7303419969975948,0.1364737253206208
JADE,LSHADE,0.8609483018517494,0.06502292624042287
GA,PSO,1.0,-0.0
GA,SSA,1.0,-0.0
GA,GWO,1.0,-0.0
NLSHADE-RSP,Spiral-LSHADE,1.0,-0.0
NLSHADE-RSP,jSO,1.0,-0.0
LSHADE,NLSHADE-RSP,1.0,-0.0
LSHADE,jSO,1.0,-0.0
GA,SciPyDE,1.0,-0.0
GWO,SciPyDE,1.0,-0.0
PSO,SciPyDE,1.0,-0.0
PSO,SSA,1.0,-0.0
GWO,SSA,1.0,-0.0
GWO,PSO,1.0,-0.0
LSHADE,Spiral-LSHADE,1.0,-0.0
Spiral-LSHADE,jSO,1.0,-0.0
